metal,yeast,maxSlope
MnZn,BLANK,0.03404750170687976
Ni,BLANK,0.006350223058504411
Ni,BLANK,0.03459515218739995
Ni,BLANK,0.0035916775109612327
Ni,BLANK,0.010887270773807243
Ni,BLANK,0.029289913305863276
NiZn,BLANK,0.007726426298759747
NiZn,BLANK,0.033893522199957005
NiZn,BLANK,0.007235798782367907
NiZn,BLANK,0.05228015760305737
NiZn,BLANK,0.006228139026731582
YPAD,BLANK,0.006582292777501663
YPAD,BLANK,0.0050807426932308886
YPAD,BLANK,0.027791780876640356
YPAD,BLANK,0.004996388969225052
Zn,BLANK,0.004770438288836942
Zn,BLANK,0.06050556726755473
Zn,BLANK,0.0028164659715557146
Zn,BLANK,0.04489693240516956
Zn,BLANK,0.04479338409080213
Cd,BLANK,0.011338795702364733
Cd,BLANK,0.0070181079614428645
Cd,BLANK,0.01605951681638018
Cd,BLANK,0.011750283657185888
Cd,BLANK,0.016945041836358143
CdCo,BLANK,0.010179494847051274
CdCo,BLANK,0.006178120148803145
CdCo,BLANK,0.0051395945943610855
CdCo,BLANK,0.042916621700861406
CdCo,BLANK,0.014900521139171728
CdCu,BLANK,0.012495665502321172
CdCu,BLANK,0.0037443208533716184
CdCu,BLANK,0.003873697718148605
CdCu,BLANK,0.004028651734433453
CdCu,BLANK,0.02736260922286959
CdMn,BLANK,0.009684549007182852
CdMn,BLANK,0.0078001751946388245
CdMn,BLANK,0.0037899399840668475
CdMn,BLANK,0.01307174016806911
CdMn,BLANK,0.014420981342411208
CdNi,BLANK,0.005047728057760992
CdNi,BLANK,0.014736713005447653
CdNi,BLANK,0.0064532618582191495
CdNi,BLANK,0.01712492461170001
CdZn,BLANK,0.005536706071396224
CdZn,BLANK,0.0027348875164534543
CdZn,BLANK,0.003911913437626424
CdZn,BLANK,0.03507237031907806
CdZn,BLANK,0.010353365054172059
Co,BLANK,0.017104462601835735
Co,BLANK,0.0074475959399578065
Co,BLANK,0.011684632794661807
Co,BLANK,0.007211201835666258
CoCu,BLANK,0.010469087907694075
CoCu,BLANK,0.006137465680122744
CoCu,BLANK,0.005079557841014548
CoCu,BLANK,0.0026426574817328685
CoCu,BLANK,0.013297764467345983
CoMn,BLANK,0.018603283602480758
CoMn,BLANK,0.006424038390129282
CoMn,BLANK,0.007544520808089316
CoMn,BLANK,0.017852097711212878
CoMn,BLANK,0.008074995272444596
CoNi,BLANK,0.016974887306897557
CoNi,BLANK,0.015589351287648155
CoNi,BLANK,0.004277401388641522
CoNi,BLANK,0.005253485024780957
CoNi,BLANK,0.00675258062798889
CoZn,BLANK,0.040584646221475396
CoZn,BLANK,0.005067788100276971
CoZn,BLANK,0.004594517455380753
CoZn,BLANK,0.018309410965144934
CoZn,BLANK,0.004356605654010082
Cu,BLANK,0.0048422459375530025
Cu,BLANK,0.002339015947594447
Cu,BLANK,0.00424671245946584
Cu,BLANK,0.012317068831535492
Cu,BLANK,0.00396495518639739
CuMn,BLANK,0.003486142985398288
CuMn,BLANK,0.012533849214069191
CuMn,BLANK,0.004344380621912336
CuMn,BLANK,0.03425873283946501
CuMn,BLANK,0.007730371043290773
CuNi,BLANK,0.004461062097504964
CuNi,BLANK,0.015058504398979265
CuNi,BLANK,0.0039308024502027195
CuNi,BLANK,0.009126982503104841
CuNi,BLANK,0.014325728570074856
CuZn,BLANK,0.005883502152137509
CuZn,BLANK,0.006456594048298569
CuZn,BLANK,0.00943265592301401
CuZn,BLANK,0.007112692190780478
CuZn,BLANK,0.017624879145028416
Mn,BLANK,0.004169155909394817
Mn,BLANK,0.016949144532318883
Mn,BLANK,0.006615687908606559
Mn,BLANK,0.0060094268672372655
Mn,BLANK,0.03651680107186195
MnNi,BLANK,0.0029119910704977765
MnNi,BLANK,0.00886134894351187
MnNi,BLANK,0.014466618136754759
MnNi,BLANK,0.013908862250833208
MnNi,BLANK,0.007043539884676874
MnZn,BLANK,0.013173923962828125
MnZn,BLANK,0.007998155671096185
MnZn,BLANK,0.026072277481414826
MnZn,BLANK,0.003318704155930163
MnZn,BLANK,0.0026853845369601
Ni,BLANK,0.004506533102244248
Ni,BLANK,0.00267884587845657
Ni,BLANK,0.008121432304442067
Ni,BLANK,0.007617355279876391
Ni,BLANK,0.027098450161577855
NiZn,BLANK,0.002617629246692843
NiZn,BLANK,0.004506524597935879
NiZn,BLANK,0.006041960309843829
NiZn,BLANK,0.009863988015279546
NiZn,BLANK,0.023330389298248374
YPAD,BLANK,0.03581335283886489
YPAD,BLANK,0.00485205766675989
YPAD,BLANK,0.004741921921791459
YPAD,BLANK,0.012380333491712745
YPAD,BLANK,0.006748536374168167
Zn,BLANK,0.0026586488566238127
Zn,BLANK,0.006471786595518835
Zn,BLANK,0.011397874088991953
Zn,BLANK,0.003736830200828933
Zn,BLANK,0.031180487214399474
